Aethlon Medical, Inc.,AEMD,OTC BB,United States of America
A2A SPA,AEMMF,OTC Markets,United States of America
Alternative Energy Sources, Inc.,AENS,OTC Markets,United States of America
AEON Financial Service Co., Ltd.,AEOJF,OTC Markets,United States of America
American Electric Power Co., I,AEP,NYSE,United States of America
AEP Industries Inc.,AEPI,NasdaqGS,United States of America
Applied Energetics, Inc.,AERG,OTC Markets,United States of America
Asia Entertainment & Resources,AERL,NasdaqGM,United States of America
Advanced Environmental Recycli,AERT,OTC Markets,United States of America
AES Corporation (The) Class C P,AES-PC,NYSE,United States of America
AES Tiet,AESAY,OTC Markets,United States of America
AES Tiet,AESYY,OTC Markets,United States of America
American Electric Technologies,AETI,NasdaqCM,United States of America
Atos S.A.,AEXAF,OTC Markets,United States of America
ADDvantage Technologies Group,AEY,NasdaqGM,United States of America
AudioEye, Inc.,AEYE,OTC BB,United States of America
Alternative Fuels Americas, Inc.,AFAI,OTC Markets,United States of America
Almost Family Inc.,AFAM,NasdaqGS,United States of America
AFA Protective Systems, Inc.,AFAP,OTC Markets,United States of America
AllianceBernstein National Mun,AFB,NYSE,United States of America
Allied First Bancorp Inc.,AFBA,OTC BB,United States of America
American Fiber Green Products,,AFBG,OTC Markets,United States of America
Athens Bancshares Corporation,AFCB,NasdaqCM,United States of America
AFC Enterprises Inc.,AFCE,NasdaqGS,United States of America
Afri Can Marine Minerals Corp.,AFCMF,OTC Markets,United States of America
Africo Resources Ltd.,AFCRF,OTC Markets,United States of America
Affirmative Insurance Holdings,AFFM,OTC Markets,United States of America
Affinity Mediaworks Corp,AFFW,OTC BB,United States of America
Affymetrix Inc.,AFFX,NasdaqGS,United States of America
AFGRI LIMITED,AFGRF,OTC Markets,United States of America
Agfa-Gevaert N.V.,AFGVF,OTC Markets,United States of America
Agfa-Gevaert N.V.,AFGVY,OTC Markets,United States of America
Atlas Financial Holdings, Inc.,AFH,NasdaqCM,United States of America
AFLAC Inc.,AFL,NYSE,United States of America
Air France-KLM SA,AFLYY,OTC Markets,United States of America
Alphamin Resources Corp.,AFMJF,OTC Markets,United States of America
Anchor Funding Services, Inc.,AFNG,OTC BB,United States of America
Alliance Fiber Optic Products,AFOP,NasdaqCM,United States of America
AlumiFuel Power Corp.,AFPW,OTC Markets,United States of America
Air France-KLM SA,AFRAF,OTC Markets,United States of America
African Rainbow Minerals Limited,AFRBY,OTC Markets,United States of America
Afren PLC,AFRNF,OTC Markets,United States of America
Afren PLC,AFRNY,OTC Markets,United States of America
African Bank Investments Ltd.,AFRVF,OTC Markets,United States of America
African Bank Investments Ltd.,AFRVY,OTC Markets,United States of America
AFLAC Inc.,AFSD,NYSE,United States of America
All Energy Corp.,AFSE,OTC Markets,United States of America
AmTrust Financial Services, In,AFSI,NasdaqGS,United States of America
Amiad Water Systems Ltd,AFSLF,OTC Markets,United States of America
Asia Green Agriculture Corp.,AGAC,OTC BB,United States of America
Algae Biosciences Corporation,AGBCF,OTC Markets,United States of America
AgriVest Americas, Inc,AGBR,OTC BB,United States of America
Amarillo Gold Corp.,AGCBF,OTC Markets,United States of America
Gensource Capital Corporation,AGCCF,OTC Markets,United States of America
AGCO Corporation,AGCO,NYSE,United States of America
Agenus Inc.,AGEN,NasdaqCM,United States of America
Ageas SA/NV,AGESF,OTC Markets,United States of America
ageas SA/NV,AGESY,OTC Markets,United States of America
African Gold Group Inc.,AGGFF,OTC Markets,United States of America
Argo Group International Holdi,AGII,NasdaqGS,United States of America
Argo Group International Holdin,AGIIL,NasdaqGS,United States of America
Aguila American Gold Limited,AGLAF,OTC Markets,United States of America
AGL Energy Limited,AGLNF,OTC Markets,United States of America
AGL Energy Limited,AGLNY,OTC Markets,United States of America
ANGLESEY MINING PLC,AGLSF,OTC Markets,United States of America
Angel Telecom Corp.,AGLT,OTC Markets,United States of America
Federal Agricultural Mortgage Corp.,AGM-A,NYSE,United States of America
Federal Agricultural Mortgage C,AGM-PA,NYSE,United States of America
Federal Agricultural Mortgage,AGM,NYSE,United States of America
Along Mobile Technologies, Inc.,AGMB,OTC Markets,United States of America
Aldridge Minerals Inc.,AGMIF,OTC Markets,United States of America
American Capital Agency Corp.,AGNC,NasdaqGS,United States of America
American Capital Agency Corp.,AGNCP,NasdaqGS,United States of America
Atlantic Gold NL,AGNLF,OTC Markets,United States of America
Acron Genomics Inc.,AGNM,OTC Markets,United States of America
Assured Guaranty Ltd.,AGO-PB,NYSE,United States of America
Assured Guaranty Ltd.,AGO-PE,NYSE,United States of America
Assured Guaranty Ltd.,AGO-PF,NYSE,United States of America
Amerigo Energy, Inc.,AGOE,OTC Markets,United States of America
Assured Guaranty Ltd.,AGOUF,OTC Markets,United States of America
Anglo Pacific Group plc,AGPIF,OTC Markets,United States of America
Agile Property Holdings Ltd.,AGPYF,OTC Markets,United States of America
Agile Property Holdings Ltd.,AGPYY,OTC Markets,United States of America
Agricon Global Corporation,AGRC,OTC Markets,United States of America
AgriSolar Solutions, Inc.,AGSO,OTC Markets,United States of America
AGTECH HOLDINGS LTD,AGTEF,OTC Markets,United States of America
Arctic Glacier Income Fund,AGUNF,OTC Markets,United States of America
Argan, Inc.,AGX,NYSE MKT,United States of America
Alliance Grain Traders Inc.,AGXXF,OTC Markets,United States of America
Agilysys Inc.,AGYS,NasdaqGS,United States of America
Anheuser-Busch InBev SA/NV,AHBIF,OTC Markets,United States of America
Alhambra Resources Ltd.,AHBRF,OTC Markets,United States of America
A. H. Belo Corporation,AHC,NYSE,United States of America
Active Health Foods, Inc.,AHFD,OTC BB,United States of America
Artisanal Brands, Inc.,AHFP,OTC Markets,United States of America
Alliance Holdings GP, L.P.,AHGP,NasdaqGS,United States of America
ASAHI INTEC CO LTD,AHICF,OTC Markets,United States of America
Aspen Insurance Holdings Limite,AHL-PA,NYSE,United States of America
Aspen Insurance Holdings Limite,AHL-PB,NYSE,United States of America
Aspen Insurance Holdings Limite,AHL-PC,NYSE,United States of America
Allied Healthcare Products Inc,AHPI,NasdaqGM,United States of America
AtheroNova Inc.,AHRO,OTC Markets,United States of America
AMN Healthcare Services Inc.,AHS,NYSE,United States of America
Ashford Hospitality Trust Inc 8,AHT-PA,NYSE,United States of America
Ashford Hospitality Trust Inc 8,AHT-PD,NYSE,United States of America
Ashford Hospitality Trust Inc 9,AHT-PE,NYSE,United States of America
Ashford Hospitality Trust Inc.,AHT,NYSE,United States of America
Allied Irish Banks, p.l.c.,AIBSF,OTC Markets,United States of America
Allied Irish Banks, p.l.c.,AIBYY,OTC Markets,United States of America
Air Canada,AIDEF,OTC Markets,United States of America
Air Canada,AIDIF,OTC Markets,United States of America
Asian Mineral Resources Ltd.,AIERF,OTC Markets,United States of America
AIFUL Corporation,AIFLF,OTC Markets,United States of America
AIFUL Corporation,AIFLY,OTC Markets,United States of America
American International Group,,AIG,NYSE,United States of America
Adcock Ingram Holdings Limited,AIHLF,OTC Markets,United States of America
Lexicon Building Systems Ltd.,AILFQ,OTC Markets,United States of America
AMEREN ILL 4.08 PFD,AILIH,OTC Markets,United States of America
AMEREN ILL 4.70 PFD,AILIM,OTC Markets,United States of America
AMEREN IL C 4.26 PFD,AILIO,OTC Markets,United States of America
AMEREN IL C 4.20 PFD,AILIP,OTC Markets,United States of America
AMEREN ILL PUB 5.16,AILLI,OTC Markets,United States of America
AMEREN ILL CO DEP SH,AILLL,OTC Markets,United States of America
AMEREN ILL PUB 4.9,AILLN,OTC Markets,United States of America
AMEREN ILL PUB 4.25,AILLO,OTC Markets,United States of America
AMEREN ILL CO,AILLP,OTC Markets,United States of America
AMEREN ILL 7.75,AILNP,OTC Markets,United States of America
Altra Holdings, Inc.,AIMC,NasdaqGS,United States of America
Apollo Investment Corporation,AINV,NasdaqGS,United States of America
Antisoma plc,AIOAF,OTC Markets,United States of America
Airports of Thailand Public Company Limited,AIPUF,OTC Markets,United States of America
Airports of Thailand Public Company Limited,AIPUY,OTC Markets,United States of America
Alliance Healthcare Services,,AIQ,NasdaqGM,United States of America
Air Industries Group, Inc.,AIRI,NYSE MKT,United States of America
Air T Inc.,AIRT,NasdaqCM,United States of America
Airware Labs Corp.,AIRW,OTC BB,United States of America
Apartment Investment and Manage,AIV-PZ,NYSE,United States of America
Aviva plc,AIVAF,OTC Markets,United States of America
American International Venture,AIVN,OTC Markets,United States of America
Assurant Inc.,AIZ,NYSE,United States of America
Safety First Trust Safety First,AJB,NYSEArca,United States of America
Arthur J Gallagher & Co.,AJG,NYSE,United States of America
Ajinomoto Co., Inc.,AJINF,OTC Markets,United States of America
Ajinomoto Co., Inc.,AJINY,OTC Markets,United States of America
AJ Lucas Group Limited,AJLGF,OTC Markets,United States of America
Ashmore Group PLC,AJMPF,OTC Markets,United States of America
AJS Bancorp, Inc.,AJSB,OTC Markets,United States of America
Ajisen China Holdings Ltd.,AJSCF,OTC Markets,United States of America
Aker ASA,AKAAF,OTC Markets,United States of America
Akamai Technologies, Inc.,AKAM,NasdaqGS,United States of America
Akbank T.A.S.,AKBTY,OTC Markets,United States of America
Arkados Group, Inc.,AKDS,OTC Markets,United States of America
Alaska Gold Corp.,AKGC,OTC Markets,United States of America
Aker Solutions ASA,AKKVF,OTC Markets,United States of America
Aker Solutions ASA,AKKVY,OTC Markets,United States of America
Embotelladora Andina S.A.,AKO-A,NYSE,United States of America
Embotelladora Andina S.A.,AKO-B,NYSE,United States of America
Alaska Pacific Bancshares, Inc,AKPB,OTC BB,United States of America
Acadia Realty Trust,AKR,NYSE,United States of America
Aker Philadelphia Shipyard ASA,AKRRF,OTC Markets,United States of America
Akorn, Inc.,AKRX,NasdaqGS,United States of America
AK Steel Holding Corporation,AKS,NYSE,United States of America
Arkanova Energy Corp.,AKVA,OTC Markets,United States of America
Akzo Nobel NV,AKZOF,OTC Markets,United States of America
Akzo Nobel NV,AKZOY,OTC Markets,United States of America
Alacer Gold Corp.,ALACF,OTC Markets,United States of America
Alanco Technologies Inc.,ALAN,OTC Markets,United States of America
ALCO Stores, Inc.,ALCS,NasdaqGM,United States of America
Alcyone Resources Ltd,ALCYF,OTC Markets,United States of America
Alon USA Partners, LP,ALDW,NYSE,United States of America
ASTRAL FOODS LTD,ALFDF,OTC Markets,United States of America
Alfa S.A.B de C.V,ALFFF,OTC Markets,United States of America
Alfa Laval AB (publ),ALFVF,OTC Markets,United States of America
Alfa Laval AB (publ),ALFVY,OTC Markets,United States of America
Align Technology Inc.,ALGN,NasdaqGS,United States of America
Allegiant Travel Company,ALGT,NasdaqGS,United States of America
Algae.Tec Limited,ALGXY,OTC Markets,United States of America
Algeta ASA,ALGZF,OTC Markets,United States of America
ALGETA ASA,ALGZY,OTC Markets,United States of America
Alacer Gold Corp.,ALIAF,OTC Markets,United States of America
Artificial Life, Inc.,ALIF,OTC Markets,United States of America
Alimera Sciences, Inc.,ALIM,NasdaqGM,United States of America
Alon USA Energy, Inc.,ALJ,NYSE,United States of America
ALKANE ENERGY PLC,ALKAF,OTC Markets,United States of America
Alkane Resources Limited,ALKEF,OTC Markets,United States of America
Alaska Hydro Corporation,ALKHF,OTC Markets,United States of America
Alkermes plc,ALKS,NasdaqGS,United States of America
Allstate Corporation (The) Dep,ALL-PA,NYSE,United States of America
Allstate Corporation (The) 5.10,ALL-PB,NYSE,United States of America
Alliance Bancorp Inc of Pennsy,ALLB,NasdaqGM,United States of America
Allana Potash Corp.,ALLRF,OTC Markets,United States of America
Allot Communications Ltd.,ALLT,NasdaqGS,United States of America
Bluenose Gold Corp.,ALLXF,OTC Markets,United States of America
Alamo Energy Corp.,ALME,OTC Markets,United States of America
Aluminum Corporation Of China Limited,ALMMF,OTC Markets,United States of America
ANA Holdings Inc.,ALNPY,OTC Markets,United States of America
Alnylam Pharmaceuticals, Inc.,ALNY,NasdaqGS,United States of America
Allied Resources Inc.,ALOD,OTC BB,United States of America
Astro-Med Inc.,ALOT,NasdaqGM,United States of America
ALPARGATAS SAIC ORD,ALPAF,OTC Markets,United States of America
Astellas Pharma, Inc.,ALPMF,OTC Markets,United States of America
Astellas Pharma, Inc.,ALPMY,OTC Markets,United States of America
ALPIQ HOLDING LTD,ALPQF,OTC Markets,United States of America
Alliqua, Inc.,ALQA,OTC Markets,United States of America
Alere Inc. Inverness Medical In,ALR-PB,NYSE,United States of America
Alere Inc.,ALR,NYSE,United States of America
American Learning Corporation,ALRN,OTC Markets,United States of America
ALR Technologies Inc.,ALRT,OTC BB,United States of America
Alaska Communications Systems,ALSK,NasdaqGS,United States of America
Alstom SA,ALSMY,OTC Markets,United States of America
Allison Transmission Holdings,,ALSN,NYSE,United States of America
Absolute Life Solutions, Inc.,ALSO,OTC Markets,United States of America
ALSEA SA,ALSSF,OTC Markets,United States of America
Absolute Software Corporation,ALSWF,OTC Markets,United States of America
Altran Technologies SA,ALTKY,OTC Markets,United States of America
Altera Corp.,ALTR,NasdaqGS,United States of America
Alteva, Inc.,ALTV,NYSE MKT,United States of America
Altex Industries Inc.,ALTX,OTC Markets,United States of America
Autoliv, Inc. Corp Unit,ALV-PZ,NYSE,United States of America
Autoliv, Inc.,ALV,NYSE,United States of America
Alvarion Ltd.,ALVR,NasdaqCM,United States of America
Alexander's Inc.,ALX,NYSE,United States of America
Alexza Pharmaceuticals Inc.,ALXA,NasdaqGM,United States of America
Alexandria Minerals Corporation,ALXDF,OTC Markets,United States of America
Alexion Pharmaceuticals, Inc.,ALXN,NasdaqGS,United States of America
Alternet Systems Inc.,ALYI,OTC Markets,United States of America
Aldershot Resources Ltd.,ALZTF,OTC Markets,United States of America
Amadeus IT Holding SA,AMADF,OTC Markets,United States of America
Amadeus IT Holding SA,AMADY,OTC Markets,United States of America
AMAG Pharmaceuticals, Inc.,AMAG,NasdaqGS,United States of America
AutoNavi Holdings Limited,AMAP,NasdaqGS,United States of America
Americas Bullion Royalty Corp.,AMBCF,OTC Markets,United States of America
Amber Resources Co. of Colorado.,AMBEQ,OTC BB,United States of America
Ambit Biosciences Corporation,AMBI,NasdaqGM,United States of America
American Bank Incorporated,AMBK,OTC Markets,United States of America
Ambow Education Holding Ltd.,AMBO,NYSE,United States of America
Amarantus Bioscience Holdings,,AMBS,OTC Markets,United States of America
Ambient Corporation,AMBT,NasdaqCM,United States of America
American Business Bank,AMBZ,OTC BB,United States of America
AMEC PLC SP ADR,AMCBY,OTC Markets,United States of America
Applied Micro Circuits Corp.,AMCC,NasdaqGS,United States of America
Andatee China Marine Fuel Serv,AMCF,NasdaqCM,United States of America
AirMedia Group Inc.,AMCN,NasdaqGS,United States of America
Amcor Limited,AMCRF,OTC Markets,United States of America
Amcor Limited,AMCRY,OTC Markets,United States of America
American Copper Corp.,AMCU,OTC BB,United States of America
AMC Networks Inc.,AMCX,NasdaqGS,United States of America
Advanced Micro Devices, Inc.,AMD,NYSE,United States of America
AtCor Medical Holdings Limited.,AMDHF,OTC Markets,United States of America
Apollo Medical Holdings, Inc.,AMEH,OTC Markets,United States of America
AMB Financial Corp.,AMFC,OTC BB,United States of America
Amgen Inc.,AMGN,NasdaqGS,United States of America
American Midstream Partners LP,AMID,NYSE,United States of America
Ambassadors International Inc.,AMIEQ,OTC Markets,United States of America
Admiral Group plc,AMIGF,OTC Markets,United States of America
Admiral Group plc,AMIGY,OTC Markets,United States of America
AMI Resources Inc.,AMIQF,OTC Markets,United States of America
Amkor Technology, Inc.,AMKR,NasdaqGS,United States of America
Ace Marketing & Promotions Inc,AMKT,OTC BB,United States of America
N/A,AMLLF,OTC Markets,United States of America
American Lithium Minerals Inc.,AMLM,OTC Markets,United States of America
AMP Limited,AMLTF,OTC Markets,United States of America
AMP Limited,AMLYY,OTC Markets,United States of America
Amur Minerals Corporation,AMMCF,OTC Markets,United States of America
American National Bankshares I,AMNB,NasdaqGS,United States of America
Armanino Foods of Distinction Inc.,AMNF,OTC Markets,United States of America
Australia Minerals & Mining Group Limited,AMNIF,OTC Markets,United States of America
Applied Minerals, Inc.,AMNL,OTC Markets,United States of America
American Sierra Gold Corp.,AMNP,OTC Markets,United States of America
East West Resources Plc,AMNZF,OTC Markets,United States of America
Amarok Resources, Inc.,AMOK,OTC Markets,United States of America
Allied Motion Technologies Inc,AMOT,NasdaqGM,United States of America
America Movil S.A.B. de C.V.,AMOV,NasdaqGS,United States of America
America Movil S.A.B. de C.V.,AMOVF,OTC Markets,United States of America
AMERIPRISE FINANCIAL SERVICES,,AMP-PA,NYSE,United States of America
Ampio Pharmaceuticals, Inc.,AMPE,NYSE MKT,United States of America
AmpliTech Group, Inc.,AMPG,OTC BB,United States of America
Amil Participacoes SA,AMPIF,OTC Markets,United States of America
Ampal-American Israel Corp.,AMPLQ,OTC Markets,United States of America
American River Bankshares,AMRB,NasdaqGS,United States of America
Ameresco, Inc.,AMRC,NYSE,United States of America
AmREIT, Inc.,AMRE,NYSE,United States of America
Albany Molecular Research Inc.,AMRI,NasdaqGS,United States of America
Amarin Corporation plc,AMRN,NasdaqGM,United States of America
Amyris, Inc.,AMRS,NasdaqGS,United States of America
AmerElite Solutions Inc.,AMRX,OTC BB,United States of America
American Superconductor Corpor,AMSC,NasdaqGS,United States of America
American Sands Energy Corp.,AMSE,OTC BB,United States of America
Amerisafe, Inc.,AMSF,NasdaqGS,United States of America
AmSurg Corp.,AMSG,NasdaqGS,United States of America
ArcelorMittal South Africa Limited,AMSIY,OTC Markets,United States of America
Flyht Aerospace Solutions Ltd.,AMSLF,OTC Markets,United States of America
Amanasu Environment Corp.,AMSU,OTC Markets,United States of America
American Software, Inc.,AMSWA,NasdaqGS,United States of America
Ameritrans Capital Corp.,AMTC,OTC Markets,United States of America
TD Ameritrade Holding Corporat,AMTD,NYSE,United States of America
Apollo Residential Mortgage, I,AMTG,NYSE,United States of America
Amerityre Corp.,AMTY,OTC Markets,United States of America
Amg Advanced Metallurgical Group N.V.,AMVMF,OTC Markets,United States of America
American Woodmark Corp.,AMWD,NasdaqGS,United States of America
Amwest Imaging Incorporated,AMWI,OTC Markets,United States of America
Ameristar Network Inc.,AMWK,OTC Markets,United States of America
